"","id","title","cartoonist","genre","last_episode"
"1","648419","뷰티풀 군바리","설이 / 윤성원","스토리, 드라마",273
"2","758037","참교육","채용택 / 한가람","스토리, 액션",6
"3","602910","윈드브레이커","조용석","스토리, 스포츠",340
"4","654774","소녀의 세계","모랑지","스토리, 드라마",249
"5","733074","백수세끼","치즈","스토리, 드라마",66
"6","754781","바이러스X","준 / 하랑","스토리, 스릴러",8
"7","728750","장씨세가 호위무사","조형근 / 김인호","스토리, 시대극",82
"8","749632","파이게임","배진수","스토리, 스릴러",23
"9","759940","만렙돌파","성불예정,홍실 / 미노","스토리, 판타지",3
"10","739115","앵무살수","김성진","스토리, 판타지",45
"11","709731","유일무이 로맨스","두부","스토리, 로맨스",116
"12","730174","칼가는 소녀","오리","에피소드, 드라마",75
"13","703849","요리GO","HO9","스토리, 드라마",112
"14","716857","오늘의 순정망화","손하기","에피소드, 개그",266
